threshold,precision,recall,f1,tp,fp,fn,tn
0.01,0.0369,0.6983,0.0701,2025,52877,875,26375
0.0149,0.0369,0.6983,0.0701,2025,52877,875,26375
0.0198,0.0369,0.6983,0.0701,2025,52877,875,26375
0.0248,0.0369,0.6983,0.0701,2025,52877,875,26375
0.0297,0.0369,0.6983,0.0701,2025,52877,875,26375
0.0346,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0395,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0445,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0494,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0543,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0592,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0642,0.0369,0.6469,0.0698,1876,48978,1024,30274
0.0691,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.074,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.0789,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.0839,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.0888,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.0937,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.0986,0.0372,0.6183,0.0701,1793,46463,1107,32789
0.1036,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1085,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1134,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1183,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1233,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1282,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.1331,0.0368,0.5869,0.0693,1702,44507,1198,34745
0.138,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.143,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.1479,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.1528,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.1577,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.1627,0.0369,0.5659,0.0693,1641,42844,1259,36408
0.1676,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1725,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1774,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1824,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1873,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1922,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.1971,0.0369,0.5452,0.0691,1581,41298,1319,37954
0.2021,0.0367,0.52,0.0685,1508,39593,1392,39659
0.207,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2119,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2168,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2218,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2267,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2316,0.0367,0.52,0.0685,1508,39593,1392,39659
0.2365,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2415,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2464,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2513,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2562,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2612,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.2661,0.0366,0.4962,0.0682,1439,37872,1461,41380
0.271,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.2759,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.2809,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.2858,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.2907,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.2956,0.0367,0.4759,0.0681,1380,36269,1520,42983
0.3006,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3055,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3104,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3153,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3203,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3252,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.3301,0.0364,0.4514,0.0674,1309,34654,1591,44598
0.335,0.0366,0.4328,0.0674,1255,33077,1645,46175
0.3399,0.0366,0.4328,0.0674,1255,33077,1645,46175
0.3449,0.0366,0.4328,0.0674,1255,33077,1645,46175
0.3498,0.0366,0.4328,0.0674,1255,33077,1645,46175
0.3547,0.0366,0.4328,0.0674,1255,33077,1645,46175
0.3596,0.0366,0.4328,0.0674,1255,33077,1645,46175
